0.797,6045,3707,16374,72995,,,,,,,,,,,,,
0.704,31042,15685,9757,29343,,,,,,,,,,,,,
0.675,16716,8943,11036,24750,,,,,,,,,,,,,
0.703,34078,13107,9670,19887,,,,,,,,,,,,,
0.627,43794,23779,7638,9122,,,,,,,,,,,,,
0.765,10780,5446,12116,46270,,,,,,,,,,,,,
0.784,8140,5900,15508,69580,,,,,,,,,,,,,
0.688,27695,14782,9394,25515,,,,,,,,,,,,,
0.666,19322,10265,10499,22082,,,,,,,,,,,,,
0.719,40652,14135,9082,18631,,,,,,,,,,,,,
0.613,37126,23511,8228,13112,,,,,,,,,,,,,
0.785,7053,2002,14983,54897,,,,,,,,,,,,,
0.733,13358,12074,14358,59237,,,,,,,,,,,,,
0.736,24437,9031,9092,26076,,,,,,,,,,,,,
0.639,19978,13729,9582,21357,,,,,,,,,,,,,
0.714,43667,16846,7881,17957,,,,,,,,,,,,,
0.634,31533,17040,9131,13771,,,,,,,,,,,,,
0.798,7021,1953,16678,66430,,,,,,,,,,,,,
0.708,22560,15974,12723,47106,,,,,,,,,,,,,
0.737,17624,6709,9373,27413,,,,,,,,,,,,,
0.645,23106,14619,9998,21696,,,,,,,,,,,,,
0.683,44103,18837,8751,15258,,,,,,,,,,,,,
0.669,26516,13428,8828,18533,,,,,,,,,,,,,
0.821,7356,1628,16102,74099,,,,,,,,,,,,,
0.699,29753,17754,11068,37240,,,,,,,,,,,,,
0.697,13487,6749,11220,27911,,,,,,,,,,,,,
0.676,28266,14011,9160,20018,,,,,,,,,,,,,
0.664,44062,20145,8905,13421,,,,,,,,,,,,,
0.706,19058,11324,9295,30360,,,,,,,,,,,,,
0.806,6334,2943,16280,73587,,In total,0.703083969,,,,,,,,,,2625
0.7,31513,16447,9993,30108,,In one cycle  ,0.69072,,,,,,,,,,
0.679,15796,8470,11141,25743,,,,,,,,,,,,,
0.701,32753,13080,9454,19998,,,,,,,,,,,,,
0.629,43823,23426,8211,9903,,,,,,,,,,,,,
0.761,12702,6562,10927,43081,,,,,,,,,,,,,
0.79,7726,4879,15943,70528,,,,,,,,,,,,,
0.686,28155,15605,9397,26462,,,,,,,,,,,,,
0.665,19112,9913,10828,22104,,,,,,,,,,,,,
0.715,38720,13896,9286,19374,,,,,,,,,,,,,
0.614,39307,24561,7604,11831,,,,,,,,,,,,,
0.782,7656,2064,14726,52576,,,,,,,,,,,,,
0.742,11153,10947,14561,62398,,,,,,,,,,,,,
0.732,26399,10088,9057,25812,,,,,,,,,,,,,
0.637,19400,13161,10053,21256,,,,,,,,,,,,,
0.715,42853,16069,8227,18144,,,,,,,,,,,,,
0.637,33025,18449,8189,13769,,,,,,,,,,,,,
0.79,7118,2231,16537,63497,,,,,,,,,,,,,
0.709,20072,15117,13582,49883,,,,,,,,,,,,,
0.742,19624,7085,9037,26862,,,,,,,,,,,,,
0.644,22102,14640,9781,22046,,,,,,,,,,,,,
0.691,44368,18352,8561,15780,,,,,,,,,,,,,
0.648,28039,14560,8805,14958,,,,,,,,,,,,,
0.823,7092,1517,16040,74535,,,,,,,,,,,,,
0.697,28764,17710,11822,39040,,,,,,,,,,,,,
0.706,13542,6523,10844,28145,,,,,,,,,,,,,
0.669,27101,14006,9455,20347,,,,,,,,,,,,,
0.672,43793,19676,8729,14317,,,,,,,,,,,,,
0.691,21043,12342,9133,27033,,,,,,,,,,,,,
0.815,6806,2057,16336,73976,,,,,,,,,,,,,
0.701,31456,17327,9727,31866,,,,,,,,,,,,,
0.68,14935,7833,11631,26365,,,,,,,,,,,,,
0.696,31241,13366,9086,20202,,,,,,,,,,,,,
0.638,44524,22407,8846,10525,,,,,,,,,,,,,
0.75,13907,8083,9935,40020,,,,,,,,,,,,,
0.789,7235,4505,16438,70848,,,,,,,,,,,,,
0.695,29163,15579,9377,27718,,,,,,,,,,,,,
0.664,18448,9691,11047,22617,,,,,,,,,,,,,
0.712,37142,13567,9437,19808,,,,,,,,,,,,,
0.62,40913,24571,7241,10973,,,,,,,,,,,,,
0.771,8690,3172,14276,49889,,,,,,,,,,,,,
0.758,9717,9497,14518,65328,,,,,,,,,,,,,
0.72,27406,11480,9254,25795,,,,,,,,,,,,,
0.635,19059,12635,10499,21104,,,,,,,,,,,,,
0.725,42681,14665,8408,18138,,,,,,,,,,,,,
0.629,34074,20635,8160,14754,,,,,,,,,,,,,
0.786,7096,2095,16066,59444,,,,,,,,,,,,,
0.717,17748,14081,13896,53069,,,,,,,,,,,,,
0.74,21253,7905,8861,26563,,,,,,,,,,,,,
0.639,21281,14605,9727,21727,,,,,,,,,,,,,
0.702,44342,17750,8139,16742,,,,,,,,,,,,,
0.637,29455,15488,8907,13278,,,,,,,,,,,,,
0.816,6928,1521,16434,72687,,,,,,,,,,,,,
0.703,27315,17033,12015,41468,,,,,,,,,,,,,
0.712,14281,6760,10462,28256,,,,,,,,,,,,,
0.656,25438,14444,9783,20708,,,,,,,,,,,,,
0.678,43937,19344,8618,14953,,,,,,,,,,,,,
0.684,23049,12889,8831,23876,,,,,,,,,,,,,
0.82,7363,1539,16291,73993,,,,,,,,,,,,,
0.7,30801,17753,9931,33747,,,,,,,,,,,,,
0.682,14325,7465,11813,26978,,,,,,,,,,,,,
0.69,30094,13644,9023,20441,,,,,,,,,,,,,
0.644,44299,21557,9035,11142,,,,,,,,,,,,,
0.735,16036,9340,9533,36439,,,,,,,,,,,,,
0.791,6693,4139,16602,71627,,,,,,,,,,,,,
0.704,30094,15590,9322,29190,,,,,,,,,,,,,
0.664,17491,9512,11203,23522,,,,,,,,,,,,,
0.705,35331,13428,9630,19766,,,,,,,,,,,,,
0.621,42505,24484,7387,9734,,,,,,,,,,,,,
0.775,10129,4036,12889,48204,,,,,,,,,,,,,
0.772,8933,7412,15145,67552,,,,,,,,,,,,,
0.701,27463,13578,9192,25859,,,,,,,,,,,,,
0.647,19252,11410,10687,21252,,,,,,,,,,,,,
